"Headword","Definitions","Part of Speech","Semantic Group","Frequency Rank"
"cupīdō -inis f.","desire, eagerness, craving","Noun: 3rd Declension","Love","906"
"cūnctus -a -um","entire all together","Adjective: 1st and 2nd Declension","Measurement","292"
"cum","with (prep. + abl.); when, since, although (conjunction + subj.)","Preposition","Conjunctions/Adverbs","10"
"dō dare dedī datum","give","Verb: 1st Conjugation","Social Life","28"
"differō differre distulī dīlātum","scatter; publish, divulge; differ; defer, postpone","Verb: Irregular","Making/Doing","880"
"epistula -ae f.","letter","Noun: 1st Declension","Writing/Poetry","951"
"ecce","behold!","Adverb","Vision","643"
"dux ducis m./f.","leader, general","Noun: 3rd Declension","War and Peace","239"
"dūrus -a -um","hard, tough, harsh","Adjective: 1st and 2nd Declension","Other Senses","249"
"duo duae duo","two","Adjective: Numeral","Measurement","221"
"dum","while (+ indic.); until (+ subj.); provided that (+ subj.)","Conjunction","Time","103"
"dulcis -e","sweet","Adjective: 3rd Declension","Other Senses","383"
"dūcō dūcere dūxī ductum","lead; uxōrem dūcere, marry","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","133"
"dubius -a -um","doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly","Adjective: 1st and 2nd Declension","Deception","528"
"dubitō -āre","hesitate, doubt","Verb: 1st Conjugation","Education/Knowledge","521"
"ēdīcō -dīcere -dīxī -dictum","declare","Verb: 3rd Conjugation -ō","Speech/Oratory","996"
"ēdō ēdere ēdidī ēditum","put forth, state, explain","Verb: 3rd Conjugation -ō","Speech/Oratory","688"
"ēdūcō -dūcere -dūxī -ductum","lead forth","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","935"
"eō īre iī/īvī itum","go","Verb: Irregular","Motion","97"
"eō","(adv.) there, to that place","Adverb","Place","470"
"enim","for, indeed","Conjunction","Pronouns/Interrogatives","57"
"ēligō ēligere ēlēgī ēlēctum","pick out, select","Verb: 3rd Conjugation -ō","The City","942"
"ēgregius -a -um","distinguished, uncommon","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","860"
"ēgredior ēgredī ēgressus sum","stride out, depart, disembark from (+ abl.)","Verb: Deponent","Travel","912"
"ego meī mihi mē","I, me","Pronoun","Pronouns/Interrogatives","11"
"effundō -fundere -fūdī -fūsum","pour out","Verb: 3rd Conjugation -ō","Earth and Water","719"
"efficiō -ficere -fēcī -fectum","bring about, complete; render (+ ut + subj.)","Verb: 3rd Conjugation -iō","Making/Doing","573"
"dormiō -īre","sleep","Verb: 4th Conjugation","Life and Being","975"
"dōnum -ī n.","gift, present","Noun: 2nd Declension","Social Life","476"
"dōnō -āre","present with a gift (+ acc. of person and abl. of thing)","Verb: 1st Conjugation","Social Life","606"
"dīversus -a -um","different, diverse","Adjective: 1st and 2nd Declension","Other Senses","641"
"diū:","for a long time","Adverb","Time","361"
"discō -ere didicī","learn","Verb: 3rd Conjugation -ō","Education/Knowledge","465"
"disciplīna -ae f.","training, instruction; learning, discipline","Noun: 1st Declension","Education/Knowledge","982"
"discēdō -ere -cessī -cessum","go away, depart","Verb: 3rd Conjugation -ō","Travel","726"
"dīmittō -mittere -mīsī -missum","send away","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","777"
"dīligō -ligere -lēxī -lēctum","choose, cherish, love","Verb: 3rd Conjugation -ō","Love","973"
"dīgnus -a -um","worthy","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","291"
"dīgnitās -ātis f.","worth, reputation, honor","Noun: 3rd Declension","Personality Traits/Characteristics","956"
"difficilis -e","not easy, hard, difficult","Adjective: 3rd Declension","Personality Traits/Characteristics","861"
"dīves dīvitis","rich (poet. dīs, dītis)","Adjective: 3rd Declension","Business/Money","564"
"dīvidō -ere dīvīsī dīvīsum","divide, separate","Verb: 3rd Conjugation -ō","Making/Doing","628"
"dōnec","until","Conjunction","Time","771"
"domus -ūs f.","house, home","Noun: 4th Declension","The House","73"
"dominus -ī m.; domina -ae f.","household master, lord; mistress","Noun: 2nd Declension","The Household","241"
"dolus -ī m.","artifice, device, trick","Noun: 2nd Declension","Deception","701"
"dolor -ōris m.","pain, grief","Noun: 3rd Declension","Emotions","193"
"doleō -ēre doluī","feel pain or grief, grieve","Verb: 2nd Conjugation","Emotions","785"
"doceō -ēre -uī doctum","teach","Verb: 2nd Conjugation","Education/Knowledge","393"
"dīvus -a -um","divine, godlike; (as subst.) a god","Adjective: 1st and 2nd Declension","Religion","962"
"dīvitiae -ārum f. pl.","riches, wealth","Noun: 1st Declension","Business/Money","712"
"caveō cavēre cāvī cautum","be on guard, beware","Verb: 2nd Conjugation","Violence","941"
"cāsus -ūs m.","a fall; chance, accident","Noun: 4th Declension","Violence","344"
"castrum -ī n.","fortress, (regularly plural, castra camp)","Noun: 2nd Declension","War and Peace","224"
"cārus -a -um","dear","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","462"
"carmen -inis n.","song","Noun: 3rd Declension","Writing/Poetry","254"
"careō -ēre -uī","lack (+ abl.)","Verb: 2nd Conjugation","Business/Money","572"
"caput capitis n.","head","Noun: 3rd Declension","The Body","124"
"capiō capere cēpī captum","seize","Verb: 3rd Conjugation -iō","War and Peace","131"
"canō canere cecinī cantum","sing","Verb: 3rd Conjugation -ō","Writing/Poetry","389"
"causa -ae f.","cause, reason; causā + preceding genitive, for the sake of","Noun: 1st Declension","Speech/Oratory","107"
"cēdō cēdere cessī cessum","go, move; yield","Verb: 3rd Conjugation -ō","War and Peace","304"
"celebrō -āre","frequent, throng, crowd","Verb: 1st Conjugation","The City","893"
"cēterum","for the rest, in addition, however that may be","Adverb","Pronouns/Interrogatives","571"
"certus -a -um","sure, fixed","Adjective: 1st and 2nd Declension","Measurement","285"
"certō -āre","decide by contest; fight, compete, vie","Verb: 1st Conjugation","Athletics","864"
"certē","certainly, surely","Adverb","Measurement","601"
"cernō cernere crēvī crētum","discern, separate","Verb: 3rd Conjugation -ō","Education/Knowledge","655"
"centum","one hundred","Adjective: Numeral","Measurement","730"
"cēnseō cēnsēre cēnsuī cēnsum","assess, rate; think, decide","Verb: 2nd Conjugation","Education/Knowledge","928"
"celeriter","quickly","Adverb","Time","967"
"celer -is -e","swift","Adjective: 3rd Declension","Time","745"
"cēterus -a -um","the other, the others, the rest","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","596"
"canis -is m./f.","dog","Noun: 3rd Declension","Animals/Plants","687"
"candidus -a -um","white, fair","Adjective: 1st and 2nd Declension","Vision","692"
"bene","well","Adverb","Personality Traits/Characteristics","235"
"bellum -ī n.","war","Noun: 2nd Declension","War and Peace","86"
"beātus -a -um","happy, blessed, prosperous, fortunate","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","408"
"barbarus -ī m.","foreigner, barbarian","Noun: 2nd Declension","War and Peace","768"
"auxilium -ī n.","support, assistance; (pl.) auxiliary forces","Noun: 2nd Declension","War and Peace","543"
"autem","moreover, but, however","Conjunction","Conjunctions/Adverbs","123"
"aut","or","Conjunction","Conjunctions/Adverbs","24"
"aurum -ī n.","gold","Noun: 2nd Declension","Business/Money","303"
"auris -is f.","ear","Noun: 3rd Declension","The Body","366"
"beneficium -ī n.","service, kindness","Noun: 2nd Declension","Social Life","182"
"bonus -a -um","good","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","68"
"bōs bovis m.","ox; gen. pl. boum","Noun: 3rd Declension","Animals/Plants","808"
"campus -ī m.","plain, field","Noun: 2nd Declension","Earth and Water","391"
"caelum -ī n.","sky, heavens","Noun: 2nd Declension","Air and Fire","117"
"caelestis -e","from or of heaven; caelestēs, the gods","Adjective: 3rd Declension","Air and Fire","960"
"caedō caedere cecīdī caesum","strike, kill, cut down","Verb: 3rd Conjugation -ō","Violence","612"
"caedēs -is f.","killing, slaughter","Noun: 3rd Declension","Violence","415"
"caecus -a -um","blind, unseeing; dark, obscure","Adjective: 1st and 2nd Declension","Vision","728"
"cadō cadere cecidī cāsum","fall, be killed","Verb: 3rd Conjugation -ō","Violence","210"
"breviter","briefly","Adverb","Measurement","992"
"brevis -e","short, shallow, brief","Adjective: 3rd Declension","Measurement","589"
"castus -a -um","pure, spotless, chaste","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","838"
"cibus -ī m.","food","Noun: 2nd Declension","Life and Being","863"
"conveniō -venīre -vēnī -ventum","assemble, meet; agree","Verb: 4th Conjugation","Social Life","698"
"cōnsequor -sequī -secūtus sum","follow up, overtake, attain","Verb: Deponent","Motion","917"
"cōnor cōnārī cōnātus sum","try, attempt","Verb: Deponent","Making/Doing","905"
"coniunx coniugis m./f.","spouse, husband, wife","Noun: 3rd Declension","The Household","218"
"cōnfiteor cōnfitērī cōnfessus sum","admit (a fact), confess (a crime); reveal, disclose","Verb: Deponent","Justice","972"
"cōnficiō -ficere -fēcī -fectum","complete, accomplish; destroy, kill, consume","Verb: 3rd Conjugation -iō","Violence","894"
"cōnferō cōnferre contulī collātum","collect, bring to","Verb: Irregular","Verbs of Transport","645"
"condō -dere -didī -ditum","build, found; store up; hide, conceal","Verb: 3rd Conjugation -ō","The City","540"
"condīciō -ōnis f.","agreement, condition","Noun: 3rd Declension","Business/Money","920"
"concēdō -cēdere -cessī -cessum","yield, withdraw","Verb: 3rd Conjugation -ō","War and Peace","663"
"cōnsilium -ī n.","plan; council, group of advisors","Noun: 2nd Declension","The City","217"
"cōnsistō -sistere -stitī","take position; consist in, be composed of","Verb: 3rd Conjugation -ō","Speech/Oratory","780"
"cōnstituō -stituere -stituī -stitūtum","establish, put together","Verb: 3rd Conjugation -ō","Making/Doing","652"
"contrā","against, opposite (adv. and prep. +acc.)","Preposition","Place","271"
"contingō -tingere -tigī -tactum","touch, be contiguous to","Verb: 3rd Conjugation -ō","Place","494"
"contineō -tinēre -tinuī -tentum","contain, restrain","Verb: 2nd Conjugation","Verbs of Compelling/Directing","804"
"contemnō -temnere -tempsī -temptum","despise, scorn, disdain","Verb: 3rd Conjugation -ō","Emotions","615"
"cōnsūmō -sūmere -sūmpsī -sūmptum","to use up, consume","Verb: 3rd Conjugation -ō","Life and Being","869"
"cōnsulō -sulere -suluī -sultum","consult, plan (+ acc.); consider the interests of (+dat)","Verb: 3rd Conjugation -ō","The City","757"
"cōnsul -ulis m.","consul","Noun: 3rd Declension","The City","321"
"cōnsuētūdo -inis f.","custom, habit","Noun: 3rd Declension","Personality Traits/Characteristics","954"
"cōnstō -stāre -stitī","agree; constat, it is established that (+ acc. and infin.)","Verb: 1st Conjugation","Speech/Oratory","731"
"compōnō -pōnere posuī positum","build, construct, arrange","Verb: 3rd Conjugation -ō","Making/Doing","443"
"comparō -āre","get ready, provide; compare","Verb: 1st Conjugation","Business/Money","890"
"claudō claudere clausī clausum","close, shut","Verb: 3rd Conjugation -ō","The House","392"
"classis -is f.","class, division, fleet","Noun: 3rd Declension","War and Peace","505"
"clārus -a -um","clear, distinguished","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","395"
"clāmor -ōris m.","outcry, shout","Noun: 3rd Declension","Speech/Oratory","605"
"cīvitās -ātis f.","citizenship, state","Noun: 3rd Declension","The City","346"
"cīvis -is m./f.","citizen","Noun: 3rd Declension","The City","471"
"citus -a -um","swift; citō swiftly","Adjective: 1st and 2nd Declension","Time","590"
"circā","around (adv. and prep. +acc.)","Preposition","Place","735"
"cinis cineris m./f.","ashes, embers","Noun: 3rd Declension","Air and Fire","779"
"cingō cingere cīnxī cīnctum","encircle, surround, gird","Verb: 3rd Conjugation -ō","War and Peace","814"
"coepī coepisse coeptus","begin","Verb: Irregular","Time","312"
"cōgitō -āre","think, reflect","Verb: 1st Conjugation","Education/Knowledge","515"
"commūnis -e","common, general","Adjective: 3rd Declension","The City","660"
"committō -mittere -mīsī -missum","join, entrust to (+ dat.); perform, do","Verb: 3rd Conjugation -ō","Social Life","608"
"comes comitis m./f.","companion, comrade; attendant, follower","Noun: 3rd Declension","Social Life","448"
"coma -ae f.","hair, tresses","Noun: 1st Declension","The Body","405"
"color -ōris m.","color","Noun: 3rd Declension","Vision","725"
"colō colere coluī cultum","inhabit, cultivate","Verb: 3rd Conjugation -ō","Animals/Plants","333"
"colligō -ere -lēgī -lēctum","gather together, collect","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","820"
"cohors cohortis f.","cohort, band, troop","Noun: 3rd Declension","War and Peace","666"
"cōgō cōgere coēgī coāctum","drive together; compel","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","250"
"cōgnōscō -gnōscere -gnōvī -gnitum","learn, understand","Verb: 3rd Conjugation -ō","Education/Knowledge","339"
"afferō afferre attulī allātum","bring to","Verb: Irregular","Verbs of Transport","514"
"albus -a -um","white","Adjective: 1st and 2nd Declension","Vision","925"
"aevum -i n.","eternity; lifetime, age","Noun: 2nd Declension","Lengths of Time","875"
"aethēr aetheris n.","pure upper air, ether, heaven, sky","Noun: 3rd Declension","Air and Fire","851"
"aeternus -a -um","everlasting, eternal","Adjective: 1st and 2nd Declension","Lengths of Time","734"
"aetās -tātis f.","age, time of life","Noun: 3rd Declension","Lengths of Time","308"
"aes aeris n.","copper, bronze","Noun: 3rd Declension","Business/Money","744"
"āēr āeris m.","air","Noun: 3rd Declension","Air and Fire","845"
"aequus -a -um","equal","Adjective: 1st and 2nd Declension","Justice","610"
"aequor aequoris n.","level surface, sea, plain","Noun: 3rd Declension","Earth and Water","424"
"afficiō -ficere -fēcī -fectum","affect, visit with (+ abl.)","Verb: 3rd Conjugation -iō","Social Life","958"
"ager agrī m.","field","Noun: 2nd Declension","Animals/Plants","324"
"agitō -āre","drive","Verb: 1st Conjugation","Verbs of Compelling/Directing","578"
"alō alere aluī alitum","nourish","Verb: 3rd Conjugation -ō","Life and Being","817"
"aliter","otherwise, differently","Adverb","Conjunctions/Adverbs","782"
"aliquis -quae -quod","some, any; si quis, si quid: anyone who, anything that","Pronoun","Pronouns/Interrogatives","77"
"aliquandō","at some time, at length","Adverb","Time","763"
"aliēnus -a -um","foreign, strange","Adjective: 1st and 2nd Declension","Geography","367"
"alius -a -ud","other, another; ālias: at another time","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","37"
"aiō","say, affirm, say yes; ut āiunt: as they say","Verb: Irregular","Speech/Oratory","406"
"agō agere ēgī āctum","drive, do, act","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","69"
"āgmen -minis n.","line of march","Noun: 3rd Declension","War and Peace","358"
"alter altera alterum","other of two","Adjective: 1st and 2nd Declension","Measurement","148"
"aequē","equally","Adverb","Justice","904"
"addō -dere -didī -ditum","give to","Verb: 3rd Conjugation -ō","Social Life","433"
"ad","to, up to, towards (+acc.)","Preposition","Place","14"
"aciēs -ēī f.","edge; line of battle","Noun: 5th Declension","War and Peace","439"
"ācer ācris ācre","sharp, piercing","Adjective: 3rd Declension","Other Senses","587"
"accipiō -cipere -cēpī -ceptum","receive","Verb: 3rd Conjugation -iō","Social Life","110"
"accidō -cidere -cidī","fall; happen","Verb: 3rd Conjugation -ō","Motion","799"
"accēdō -cēdere -cessī -cessum","approach","Verb: 3rd Conjugation -ō","Motion","614"
"ac","and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque","Conjunction","Conjunctions/Adverbs","36"
"absum abesse āfuī","be away, absent","Verb: Irregular","Travel","445"
"abeō -īre -iī -itum","go away","Verb: Irregular","Motion","553"
"addūcō -ere -dūxī -ductum","lead to, induce","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","886"
"adeō","(adv.) to such a degree, so","Adverb","Conjunctions/Adverbs","555"
"aegrē","with difficulty","Adverb","Life and Being","984"
"aeger aegra aegrum","sick","Adjective: 1st and 2nd Declension","Life and Being","810"
"aedēs -is f.","building; (pl.) house","Noun: 3rd Declension","The House","965"
"advertō -vertere -vertī -versum","turn towards","Verb: 3rd Conjugation -ō","Motion","986"
"adversus (-um)","(adv. and prep.) facing, opposite, against, opposed (to)","Adverb","War and Peace","460"
"adversus -a -um","facing, opposed; unfavorable","Adjective: 1st and 2nd Declension","War and Peace","657"
"adveniō -īre -vēnī -ventum","come to, arrive at","Verb: 4th Conjugation","Travel","987"
"adhūc","thus far, to this point","Adverb","Place","379"
"adhibeō -hibēre -hibuī -hibitum","apply","Verb: 2nd Conjugation","Making/Doing","959"
"adeō -īre -iī -itum","go to","Verb: Irregular","Motion","595"
"antīquus -a -um","ancient, old-time, former","Adjective: 1st and 2nd Declension","Lengths of Time","617"
"ā ab abs","from, by (+abl.)","Preposition","Place","21"
"astrum -ī n.","star; constellation","Noun: 2nd Declension","Air and Fire","685"
"adsum adesse affuī","be present","Verb: Irregular","Place","279"
"aspiciō -ere -spēxī -spectum","look to or at, behold","Verb: 3rd Conjugation -iō","Vision","483"
"ascendō -ere -scendī -scēnsum","climb up, ascend","Verb: 3rd Conjugation -ō","Travel","990"
"arx arcis f.","citadel, castle; summit","Noun: 3rd Declension","The City","638"
"arvum -ī n.","ploughed land, field","Noun: 2nd Declension","Animals/Plants","637"
"ars artis f.","skill","Noun: 3rd Declension","Education/Knowledge","258"
"arma -ōrum n. pl.","arms, weapons","Noun: 2nd Declension","War and Peace","98"
"argentum -ī n.","silver, money","Noun: 2nd Declension","Business/Money","849"
"at","but, but yet","Conjunction","Conjunctions/Adverbs","74"
"atque","and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac","Conjunction","Conjunctions/Adverbs","35"
"auctor -ōris m.","originator, founder","Noun: 3rd Declension","Writing/Poetry","546"
"aureus -a -um","golden; splendid","Adjective: 1st and 2nd Declension","Business/Money","691"
"aura -ae f.","breeze","Noun: 1st Declension","Air and Fire","420"
"avis -is f.","bird","Noun: 3rd Declension","Animals/Plants","855"
"augeō augēre auxī auctum","increase","Verb: 2nd Conjugation","Making/Doing","709"
"auferō auferre abstulī ablātum","take away","Verb: Irregular","Verbs of Transport","556"
"audiō -īre -īvī/-iī -ītum","hear, listen to","Verb: 4th Conjugation","Other Senses","165"
"audeō audēre ausus sum","dare, be eager","Verb: 2nd Conjugation","Personality Traits/Characteristics","270"
"audāx audācis","bold, daring; reckless","Adjective: 3rd Declension","Personality Traits/Characteristics","876"
"auctōritās -ātis f.","influence, clout, authority","Noun: 3rd Declension","Social Life","898"
"ārdeō ārdēre ārsī ārsum","blaze, glow; be eager","Verb: 2nd Conjugation","Air and Fire","618"
"arbor arboris f.","tree","Noun: 3rd Declension","Animals/Plants","468"
"arbitror arbitrārī arbitrātus sum","consider, think","Verb: Deponent","Education/Knowledge","963"
"anima -ae f.","breath, spirit","Noun: 1st Declension","Life and Being","493"
"an","or (in questions); utrum ... an: whether ... or","Conjunction","Conjunctions/Adverbs","94"
"amplus -a -um","large, spacious","Adjective: 1st and 2nd Declension","Measurement","915"
"amor -ōris m.","love","Noun: 3rd Declension","Love","116"
"amnis -is m.","river, torrent","Noun: 3rd Declension","Earth and Water","467"
"āmittō -mittere -mīsī -missum","let go, send away","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","486"
"amīcus -a -um","friendly; (as subst.) friend","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","198"
"amīcitia -ae f.","friendship","Noun: 1st Declension","Social Life","690"
"amō -āre","to love; amāns -ntis m./f.: lover","Verb: 1st Conjugation","Love","219"
"animal -ālis n.","a living being, an animal","Noun: 3rd Declension","Animals/Plants","547"
"animus -ī m.","spirit, mind","Noun: 2nd Declension","Life and Being","40"
"annus -ī m.","year","Noun: 2nd Declension","Lengths of Time","167"
"āra -ae f.","altar","Noun: 1st Declension","Religion","374"
"aqua -ae f.","water","Noun: 1st Declension","Earth and Water","272"
"apud","near, in the presence of (+acc.)","Preposition","Place","205"
"aptus -a -um","fit, suitable","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","916"
"appellō -pellāre","call, address, name","Verb: 1st Conjugation","Social Life","700"
"appāreō -ēre -uī","appear, become visible","Verb: 2nd Conjugation","Vision","830"
"aperiō aperīre aperuī apertum","open","Verb: 4th Conjugation","The House","837"
"antequam","before","Conjunction","Time","787"
"ante","before, in front of (adv. and prep. + acc.)","Preposition","Time","112"
"altus -a -um","high, lofty; deep","Adjective: 1st and 2nd Declension","Geography","159"
